Source,Target,DATE,WEIGHT
biffa01,skysportsnewshq,2016-11-23,1
creative_cordy,garylineker,2016-11-23,1
bennycryan,borisjohnson,2016-11-23,1
rihaines,fifacom,2016-11-23,1
jlewisrunner1,fifacom,2016-11-23,1
neiledwards1988,fawales,2016-11-23,1
pooop11144,fifacom,2016-11-23,1
w2aps,fifacom,2016-11-23,1
markchrisrowley,fifacom,2016-11-23,1
iamseanyp,fifacom,2016-11-23,1
cpfcbarbarian,skysportsnewshq,2016-11-23,1
ian_golden,fawales,2016-11-23,1
sharpeythejack,fa,2016-11-23,1
sharpeythejack,fifacom,2016-11-23,1
sharpeythejack,fatma_samoura,2016-11-23,1
sharpeythejack,scottishfa,2016-11-23,1
sharpeythejack,fawales,2016-11-23,1
sharpeythejack,officialirishfa,2016-11-23,1
radiotrabs,fifacom,2016-11-23,1
lihou,gjlp1,2016-11-24,1
lihou,guernseybot,2016-11-24,1
mikejdbyrne,jabnettjon,2016-11-24,1
rick1cs,easportsfifa,2016-11-24,1
betfc_tips,fifacom,2016-11-24,1
jonesnlight,fifacom,2016-11-24,1
_geordie_,fifacom,2016-11-24,1
andreagray58,lbc,2016-11-24,1
updowndave,fifacom,2016-11-24,1
updowndave,footballassoc,2016-11-24,1
claffl,unionuea,2016-11-25,1
dxbct,fifacom,2016-11-25,1
dxbct,england,2016-11-25,1
dxbct,scotlandfa,2016-11-25,1
mickeybennett,thesocialclubni,2016-11-30,1
dave999sutty,fifacom,2016-12-02,1
richardupshall,fifacom,2016-12-03,1
danny_bhoy88,fifacom,2016-12-08,1
danny_bhoy88,england,2016-12-08,1
danny_bhoy88,scottishfa,2016-12-08,1
danny_bhoy88,fawales,2016-12-08,1
belpernta,fatma_samoura,2016-12-13,1
ianmatheson,toryboypierce,2016-12-19,1
spewie01,fifacom,2016-12-19,1
pinklady9393,fifacom,2016-12-19,1
kerryvr46,fifacom,2016-12-19,1
rebeccaworth6,fifacom,2016-12-19,1
rebeccaworth6,england,2016-12-19,1
rebeccaworth6,poppylegion,2016-12-19,1
neilselman147,fifacom,2016-12-19,1
sjspode,fa,2016-12-19,1
sjspode,fifacom,2016-12-19,1
benbo2013,fifacom,2016-12-19,1
madmanuk,fifacom,2016-12-19,1
jbaldockwbafc,fbawaydays,2016-12-19,1
dw_sports,fifacom,2016-12-19,1
dw_sports,theresa_may,2016-12-19,1
johnmessingham,fifacom,2016-12-19,1
ethelandedna,fifacom,2016-12-19,1
ethelandedna,footballassoc,2016-12-19,1
macca0870,fa,2016-12-19,1
macca0870,fifacom,2016-12-19,1
deepingred,fifacom,2016-12-19,1
shermbrown,fa,2016-12-19,1
essteepee15,fifacom,2016-12-19,1
charlienewsome,england,2016-12-19,1
grotebazz,fa,2016-12-19,1
grotebazz,fifacom,2016-12-19,1
andrewyjohnston,fifacom,2016-12-19,1
andrewyjohnston,poppylegion,2016-12-19,1
craig150275,fifacom,2016-12-19,1
parmoman,fifacom,2016-12-19,1
alanmeikle,bmcglynn78,2016-12-19,1
aspirantdiva,fa,2016-12-19,1
aspirantdiva,poppylegion,2016-12-19,1
democranarch,fifacom,2016-12-19,1
xxmaccosxx,fifacom,2016-12-19,1
keessie84,fifacom,2016-12-19,1
kenfy,fifacom,2016-12-19,1
andrew14ad,peterramage83,2016-12-19,1
andrew14ad,nufctoontalk,2016-12-19,1
andrew14ad,geordiedentist,2016-12-19,1
andrew14ad,john_nufc42,2016-12-19,1
100holmesy,bbcsport,2016-12-19,1
100holmesy,bbcworld,2016-12-19,1
philly_1987,fa,2016-12-19,1
freddie_ben,fifacom,2016-12-19,1
ottergian,fifacom,2016-12-19,1
wolveslad27,england,2016-12-19,1
politest_weegie,bbcsportsound,2016-12-19,1
portercraig1,fifacom,2016-12-19,1
tombennett1982,fifacom,2016-12-19,1
steven_lfc5,fa,2016-12-19,1
steven_lfc5,waddingtonrbl,2016-12-19,1
ab1acksheep,3lions_,2016-12-19,1
crewser_uk,jdperry2187,2016-12-19,1
crewser_uk,fifacom,2016-12-19,1
crewser_uk,bbcsport,2016-12-19,1
itsmahughes,footballassoc,2016-12-19,1
nultydave,fifacom,2016-12-19,1
owensdavies,fifacom,2016-12-19,1
aquitaine1972,fifamedia,2016-12-19,1
cds4324,fifacom,2016-12-19,1
cds4324,england,2016-12-19,1
cds4324,scottishfa,2016-12-19,1
cds4324,shr33k1,2016-12-19,1
slovell1965,fifacom,2016-12-19,1
gazmoore64,fifacom,2016-12-19,1
jimthetripodman,fifamedia,2016-12-19,1
sportsplurge,fifacom,2016-12-19,1
sportsplurge,garylineker,2016-12-19,1
sportsplurge,poppylegion,2016-12-19,1
sportsplurge,easportsfifa,2016-12-19,1
sportsplurge,mrjakehumphrey,2016-12-19,1
kevinarowan,fa,2016-12-19,1
kevinarowan,fifacom,2016-12-19,1
kevinarowan,fifamedia,2016-12-19,1
lescromps,skynews,2016-12-19,1
smdosh1985,kayburley,2016-12-19,1
grattonboy,fifacom,2016-12-19,1
grattonboy,skynews,2016-12-19,1
johnfortune2002,fifacom,2016-12-19,1
phil_vcsa,easportsfifa,2016-12-19,1
benji_fav,fifacom,2016-12-19,1
davelaister,garrybirtles9,2016-12-19,1
mikebrewer1,fifa,2016-12-19,1
alippritchard,fifacom,2016-12-19,1
york_designers,fa,2016-12-20,1
york_designers,thesun,2016-12-20,1
radiosnide,frpaulstone,2016-12-20,2
radiosnide,sweirz,2016-12-20,1
igc_uk,telegraph,2016-12-20,1
raybennison1,fifacom,2016-12-20,1
gian_romeo,fifacom,2016-12-20,1
daveypalmer1,poppylegion,2016-12-20,1
andywebster5,skynews,2016-12-20,1
andywebster5,michelledewbs,2016-12-20,1
viclodgeshankli,fa,2016-12-20,1
viclodgeshankli,fifa,2016-12-20,1
viclodgeshankli,helptheheroes1,2016-12-20,1
wakizashimaster,fifacom,2016-12-20,1
colinbongobrown,fa,2016-12-21,1
colinbongobrown,fifacom,2016-12-21,1
stickuk,nestacooper,2017-01-10,1
voxvot,raheemkassam,2017-01-27,1
voxvot,shobbs627,2017-01-27,1
voxvot,kyl80624772kyl,2017-01-27,1
voxvot,breitbartnews,2017-01-27,1
voxvot,siriusxmpatriot,2017-01-27,1
peegeetweets,radiostephen,2017-01-27,1
peegeetweets,breakfastcate,2017-01-27,1
charlesgreen_67,kraljski,2017-02-22,1
charlesgreen_67,bazphilboid,2017-02-22,1
charlesgreen_67,uefa,2017-02-22,1
vemsteroo,newforestimages,2017-06-16,1
ciaran_88,thenotoriousmma,2017-06-26,1
11samtucker,a_pilling,2017-07-15,1
hibbytrish,angryscotland,2017-07-27,1
sweetirishf,johnny_scotland,2017-08-02,1
sweetirishf,jamesmcc_14,2018-11-05,1
thegrainoffice,agsplayers,2017-09-18,1
hegs_com,rupert_fryer,2017-09-24,1
gaeilge_abu,mephistophilles,2017-09-24,1
gaeilge_abu,badcrumblerjh,2017-09-24,1
gaeilge_abu,jcefidel,2017-09-24,1
gaeilge_abu,cindy_gunsallus,2017-09-24,1
gaeilge_abu,spacecadet2016,2017-09-24,1
gaeilge_abu,azkire,2017-09-24,1
gaeilge_abu,realeaglebites,2017-09-24,1
gaeilge_abu,realdonaldtrump,2017-09-24,1
gaeilge_abu,foxnews,2017-09-24,1
jegolton,upflung,2017-09-24,1
skyjacquie,skynews,2017-09-25,1
skyjacquie,lavercup,2017-09-25,1
skyjacquie,justinthomas34,2017-09-25,1
arnos_grove,guardian,2017-09-26,1
angusrosier,squires_david,2017-09-26,1
utocue,cornbrookst_red,2017-09-26,1
cornbrookst_red,utocue,2017-09-26,1
cpeggyf,guardian_sport,2017-09-26,1
cpeggyf,squires_david,2017-09-26,1
johnomcgillo,guardian_sport,2017-09-26,1
johnomcgillo,squires_david,2017-09-26,1
mrmojorisin1975,blakeyonbuses,2017-09-27,1
wrongangle,make_trouble,2017-09-29,1
gipsybhoy,stephennolan,2017-10-05,1
not_james_brown,yourmotionsays,2017-10-05,1
colmmcnabola,jamesmcc_14,2017-10-09,1
uinsionnmac,danielstorey85,2017-10-16,1
uinsionnmac,mickthehack,2017-10-16,1
palmersgreek,danielstorey85,2017-10-17,1
palmersgreek,gordonkelly,2017-10-17,1
wkd666,bethrigby,2017-10-18,1
wkd666,jeremycorbyn,2017-10-18,1
jerry_odonovan,rugbypodcast,2017-10-23,1
jerry_odonovan,jbeardmore,2017-10-23,1
neilscott2811,wetherspoon_uk,2017-10-26,1
bloggsmick,spoonstom,2017-10-26,1
ptpmultitrades,wetherspoon_uk,2017-10-26,1
nickbris56,wetherspoon_uk,2017-10-26,1
thefoodsnobuk,spoonstom,2017-10-26,1
androidrocket,wetherspoon_uk,2017-10-26,1
mortonydna,spoonstom,2017-10-26,1
westhamcharlie,wetherspoon_uk,2017-10-26,1
sapidlibtricky,wetherspoon_uk,2017-10-26,1
sapidlibtricky,spoonstom,2017-10-26,1
sapidlibtricky,andyurwin84,2017-10-26,1
tonto334,thelastleg,2017-10-26,1
srees82,wetherspoon_uk,2017-10-26,2
welshwitch34,wetherspoon_uk,2017-10-26,2
keenantodd,fuknugget,2017-10-26,1
keenantodd,dobdnc,2017-10-26,1
dariquo1,wetherspoon_uk,2017-10-26,1
sus_l_,wetherspoon_uk,2017-10-27,1
t_payne88,thelastleg,2017-10-27,1
jbhughz,wetherspoon_uk,2017-10-27,1
glove39,wetherspoon_uk,2017-10-27,1
mxkwik,wetherspoon_uk,2017-10-27,1
pmak27,wetherspoon_uk,2017-10-27,1
psychospen,wetherspoon_uk,2017-10-27,3
psychospen,shaun_xl5,2017-10-29,2
stevey_harris,wetherspoon_uk,2017-10-28,1
drew2276,wetherspoon_uk,2017-10-28,1
jasonwpee,wetherspoon_uk,2017-10-28,1
salholmes,jamesealder,2017-10-29,1
salholmes,vitu_e,2017-10-29,1
salholmes,the_topspin,2017-10-29,1
themitt1,wetherspoon_uk,2017-10-29,1
johnnycourtenay,jamesmcc_14,2017-10-29,1
mjshrimper,magicrhodes,2017-10-30,1
cricketvixen,tickerscricket,2017-10-30,1
bronjour_,wetherspoon_uk,2017-10-30,1
camillazajac,morningad,2017-10-30,1
invictavan,wetherspoon_uk,2017-10-30,2
melindafarrell,cricket_ali,2017-10-30,1
mzrti2,ladfleg,2017-10-31,1
lobby_dosser,wetherspoon_uk,2017-10-31,1
brianlong72,spoonstom,2017-10-31,1
fgamble718,pca,2017-10-31,1
fgamble718,root66,2017-10-31,1
fgamble718,englandcricket,2017-10-31,1
fgamble718,jimmy9,2017-10-31,1
fgamble718,stuartbroad8,2017-10-31,1
fgamble718,chriswoakes,2017-10-31,1
fgamble718,jbairstow21,2017-10-31,1
fgamble718,mark23stone,2017-10-31,1
fgamble718,dmalan29,2017-10-31,1
fgamble718,finnysteve,2017-10-31,1
fgamble718,jakeball,2017-10-31,1
fgamble718,masoncrane32,2017-10-31,1
daveywhitehead,spoonstom,2017-11-01,1
daveywhitehead,britainfurst,2017-11-01,1
4ibanez,taylorandbesty,2017-11-01,1
eyeballz1983,wetherspoon_uk,2017-11-02,1
eyeballz1983,brendfore,2017-11-02,1
eyeballz1983,wetherspoon__uk,2018-04-02,2
paulshearan,wetherspoon_uk,2017-11-02,1
paulshearan,brendfore,2017-11-02,1
jurassicarse,mbutler27,2017-11-02,1
dicky_turpin,wetherspoon_uk,2017-11-02,1
yorksjat,wetherspoon_uk,2017-11-03,1
matthewahorton,wetherspoon_uk,2017-11-04,1
4brothersefc,wetherspoon_uk,2017-11-04,1
theslidedown,toryboypierce,2017-11-04,1
dannavaro5,petewiggywigg,2017-11-04,1
dannavaro5,goldingbf,2017-11-04,1
coachnewport,matthaig1,2017-11-04,1
info_gdm,nicolescherzy,2017-11-05,1
samanthaehrhart,matthaig1,2017-11-05,1
davie_1967,_michellecurrie,2017-11-05,1
ronniemageean,archietheleper,2017-11-05,1
josaunders,wetherspoon_uk,2017-11-05,1
blairhillmer,tylerlecouffe,2017-11-05,1
blairhillmer,chrisjones,2017-11-05,1
paigerudge22,thexfactor,2017-11-06,1
paigerudge22,radioleary,2017-11-06,1
cicorag,je_paolino12,2017-11-06,1
myfavouriteegg,scottryan100,2017-11-07,1
artfulmaverick,squires_david,2017-11-07,1
artfulmaverick,jamesmcc_14,2017-11-07,1
theliamdance,squires_david,2017-11-07,1
littlegurrier,squires_david,2017-11-07,1
timburrows,squires_david,2017-11-07,1
guardian,guardian_sport,2017-11-07,1
dosima_org,squires_david,2017-11-07,1
dgordonjohnson,squires_david,2017-11-07,1
guardian_sport,squires_david,2017-11-07,1
guardian_sport,marinahyde,2018-08-13,1
c_garratt_teach,andyjacobs99,2017-11-08,1
trollyuk,giantpoppywatch,2017-11-08,1
oliver_moore,amyohconnor,2017-11-08,1
hillsided,kevin_maguire,2017-11-08,1
hillsided,gmb,2017-11-08,1
travelrocker,champofchamps,2017-11-09,1
travelrocker,ronnieo147,2017-11-09,1
badtastejohn,wetherspoon_uk,2017-11-09,1
badtastejohn,spoonstom,2017-11-09,1
badtastejohn,badtastejokes,2017-11-09,1
joegallagher67,thelewismcinnes,2017-11-10,1
joegallagher67,paulthetim,2017-11-10,1
claireabellered,gmb,2017-11-10,1
claireabellered,benshephard,2017-11-10,1
occupywsib,telus,2017-11-10,1
occupywsib,royalcdnlegion,2017-11-10,1
occupywsib,woundwarriorca,2017-11-10,1
borderlinekylo,kevinfrankish,2017-11-11,1
borderlinekylo,realjillyg,2017-11-11,1
millhaven_curse,generallucifer,2017-11-13,1
highlandermsp,poppyscotland,2017-11-20,3
highlandermsp,lukegrahammp,2017-11-21,1
highlandermsp,scottories,2017-11-21,1
dachsteve,daftlimmy,2017-11-20,1
cheetybees,ruthdavidsonmsp,2017-11-21,1
gturner1969,poppyscotland,2017-11-21,1
gturner1969,scottories,2017-11-21,1
gturner1969,ruthdavidsonmsp,2017-11-21,1
gturner1969,garye1869,2017-11-21,1
gturner1969,john2win,2017-11-21,1
gturner1969,rhbrucecrawford,2017-11-21,1
gturner1969,kirstene4angus,2017-11-21,1
gturner1969,pm4eastren,2017-11-21,1
gturner1969,rossthomson_mp,2017-11-21,1
gturner1969,stephenkerrmp,2017-11-21,1
gturner1969,davidmundelldct,2017-11-21,1
buzzhazard72,wetherspoon_uk,2017-11-24,1
magpie_ranger,wetherspoon_uk,2017-12-04,1
seamusmor1,thejournal_ie,2017-12-12,1
seamusmor1,elishamcc_sf,2017-12-12,1
keithflynn79,spoonstom,2017-12-22,1
keithflynn79,wetherspoon__uk,2017-12-22,1
leemabbutt,wetherspoon__uk,2017-12-22,1
unitynewsuk,michaellcrick,2018-02-20,1
normbygrave,richard_conway,2018-02-23,1
davidhall1987,mcfc_lw,2018-02-24,1
byronflynn1949,fifaworldcup,2018-03-06,1
byronflynn1949,fawales,2018-03-06,1
byronflynn1949,borisjohnson,2018-03-06,1
byronflynn1949,baxtercymru11,2018-03-06,1
melecollage,playdagger4me2,2018-04-02,1
melecollage,seattlesinbin,2018-04-02,1
melecollage,hossasbitch81,2018-04-02,1
melecollage,30inseattle,2018-04-02,1
avsybaby,spoonstom,2018-04-16,1
avsybaby,wetherspoon__uk,2018-04-16,1
paulatcpm,thetorontosun,2018-05-21,1
shnorbrother62,joe_warmington,2018-05-25,1
jdouglaslittle,thetorontosun,2018-05-29,1
jdouglaslittle,sunlorrie,2018-05-26,1
jdouglaslittle,randyfrobinson,2018-05-26,1
_ohsosam,wetherspoon__uk,2018-06-17,1
dgw2450,wetherspoon__uk,2018-06-17,1
dave8001,wetherspoon__uk,2018-06-18,1
murr1988,wetherspoon__uk,2018-06-18,1
misterswh,greggles115,2018-06-21,1
misterswh,wetherspoon__uk,2018-06-18,2
davidalexrawle,spoonstom,2018-06-18,1
sirgrahamt,wetherspoon__uk,2018-06-18,1
greggles115,misterswh,2018-06-21,1
greggles115,wetherspoon__uk,2018-06-21,1
katrinawilson16,samroggeveen,2018-06-22,1
jzee66,raheemkassam,2018-06-25,1
jzee66,brianoflondon,2018-06-25,1
tussie8,the_paris_angel,2018-07-21,1
frahoops,celtsarehere,2018-08-08,1
michelegazzetti,marinahyde,2018-08-13,1
ngbede,pocket,2018-08-14,1
barkinka1,guardian,2018-08-15,1
barkinka1,freedland,2018-08-15,1
barkinka1,labour,2018-08-15,1
frankparkes,iamwillscfc,2018-08-24,1
carljojo,wetherspoon__uk,2018-09-04,1
stinkypete5656,mrtcharris,2018-10-06,1
stinkypete5656,alichat66,2018-10-06,1
dodelow1978,joesportnewsrsn,2018-10-14,1
tmcglad36,jamesmcc_14,2018-10-15,1
tmcglad36,martinmelly86,2018-10-15,1
__amenah__,liadhniriadamep,2018-10-15,1
__amenah__,maryloumcdonald,2018-10-15,1
5platoon,wetherspoon__uk,2018-10-21,1
5platoon,1976spook,2018-10-21,1
cemguk,wetherspoon__uk,2018-10-21,1
simonpma,wetherspoon__uk,2018-10-21,1
stavparker,wetherspoon__uk,2018-10-22,1
craicthewhip_,oconnellhugh,2018-10-23,1
craicthewhip_,seamusjkearney,2018-10-23,1
gismo2047,liadhniriadamep,2018-10-23,1
jonbatchj,idontmind64,2018-10-23,1
jonbatchj,a50challenge,2018-10-23,1
jonbatchj,whypad,2018-10-23,1
jonbatchj,uklabour,2018-10-23,1
sr_chep,wetherspoon__uk,2018-10-23,1
smallsy_,tip_klopp,2018-10-23,1
chris_guinness,wetherspoon__uk,2018-10-23,1
chris_guinness,nialldunwoody,2018-10-23,1
keithmillsd7,liadhniriadamep,2018-10-25,1
keithmillsd7,sinnfeinireland,2018-10-25,1
keithmillsd7,robertbohan,2018-10-26,1
peterbu21208777,wetherspoon__uk,2018-10-26,1
cillian32,revolution_irl,2018-10-27,1
cillian32,gemmaod1,2018-10-27,1
wokeotter,leedalyire,2018-10-27,1
yama_vole,stokecity,2018-10-30,1
raymieg86,bbcsport,2018-10-30,1
wembleywarriors,ismise_dixie,2018-10-31,1
wembleywarriors,chrisadonnelly,2018-10-31,1
jackmur09553600,jamesmcc_14,2018-10-31,3
vanguardbears,celticfc,2018-11-01,1
shaunybrooke,wetherspoon__uk,2018-11-01,1
shaunybrooke,ryantheliondrfc,2018-11-01,1
sjhammerschmidt,richiek_ysw,2018-11-01,1
tommiesguides,martinb_archaeo,2018-11-02,1
tommiesguides,shortersi,2018-11-07,1
solidarityscot,citizentommy,2018-11-02,1
anubisgatesis,annethequene15,2018-11-03,1
anubisgatesis,csockpuppet,2018-11-03,1
95_gary,jamesmcc_14,2018-11-03,1
floptajoe,dangerhere,2018-11-04,1
fiachmusic,jamesmcc_14,2018-11-04,1
clarefarrell,kevin_maguire,2018-11-05,1
tamthebhoy6788,c3lt1c1888,2018-11-05,1
leealoughnane,paddypower,2018-11-05,1
mick1863,wizardsofdrivel,2018-11-05,1
danieltnash,officialfpl,2018-11-06,1
simonwattshull,steveacko1975,2018-11-06,1
flexatron28,skysportsnews,2018-11-06,1
josephsbcn,mepadraigreidy,2018-11-06,1
kevinpbreslin,bbcnolan,2018-11-07,1
leaveityeh,maxrushden,2018-11-07,1
bpfootball,kvn_clmn,2018-11-07,1
bpfootball,cianbynature,2018-11-07,1
bpfootball,iampgreene,2018-11-07,1
niallos123,shelaghfogarty,2018-11-09,1
niallos123,lbc,2018-11-09,1
simon06001,gammon_army,2018-11-10,1
simon06001,rebartic,2018-11-10,1
simon06001,simonhall1974,2018-11-10,1
rsin_around,maxrushden,2018-11-10,1
jazzgetsdeeper,aaronbastani,2018-11-10,1
jazzgetsdeeper,samanthapippin7,2018-11-10,1
neilsynnott,secondcaptains,2018-11-11,1
blepharon,juliahb1,2018-11-11,1
johndohart,amandeepbhogal,2018-11-11,1
stevedubwin,seanofthesouth,2018-11-12,1
stevedubwin,pmacgiollabhain,2018-11-12,1
damiendown112,jeremycorbyn,2018-11-12,1
damiendown112,jongaunt,2018-11-12,1
irishunityanois,poppylegion,2018-11-13,1
irishunityanois,liadhniriadamep,2018-11-13,1
irishunityanois,sinnfeinireland,2018-11-13,1
irishunityanois,britishlegion,2018-11-13,1
irishunityanois,rte,2018-11-13,1
irishunityanois,countyderrysfry,2018-11-13,1
irishunityanois,niallsf,2018-11-13,1
irishunityanois,derrysinnfein,2018-11-13,1
irishunityanois,nealerichmond,2018-11-13,1
irishunityanois,belfastsinnfein,2018-11-13,1
irishunityanois,officialgaa,2018-11-13,1
irishunityanois,sfdublincentral,2018-11-13,1
irishunityanois,dubgaaofficial,2018-11-13,1
irishunityanois,gildernewm,2018-11-13,1
irishunityanois,michaeldhiggins,2018-11-13,1
bignutty25,mikeminay,2018-11-14,1
harsh_mall,nutmegradio,2018-11-19,1
daddypobbin,chrisadonnelly,2018-11-30,1
daddypobbin,news_letter,2018-11-30,1
2911warrior,youtube,2018-12-05,1
adam_thomas_phd,journeymanhisto,2018-12-11,1
sulaalice,freddiebailey96,2018-12-20,1
